"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS01355"	"pbp3"	"pbp3"	"SPy_0292"	"D-alanyl-D-alanine carboxypeptidase PBP3"	"dacA"	"Belongs to the peptidase S11 family"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0004175,GO:0004180,GO:0004185,GO:0005575,GO:0005618,GO:0005623,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0008238,GO:0009002,GO:0016787,GO:0017171,GO:0019538,GO:0030312,GO:0043170,GO:0044238,GO:0044464,GO:0070008,GO:0070011,GO:0071704,GO:0071944,GO:0140096,GO:1901564"	"ko:K01286,ko:K07258"	"ko00550,ko01100,map00550,map01100"	"-"	"-"	"-"	"1.88e-290"
"SPY_RS01360"	"amiA"	"-"	"-"	"peptide ABC transporter substrate-binding protein"	"amiA"	"ABC transporter, substrate-binding protein, family 5"	"-"	"-"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464,GO:0071944"	"ko:K02035,ko:K15580"	"ko01501,ko02010,ko02024,map01501,map02010,map02024"	"M00239,M00439"	"-"	"-"	"0.0"
"SPY_RS01365"	"amiC"	"-"	"SPy_0294"	"ABC transporter permease"	"amiC"	"ABC transporter (Permease"	"-"	"-"	"-"	"GO:0003674,GO:0005215,GO:0006810,GO:0008150,GO:0022857,GO:0051179,GO:0051234,GO:0055085"	"ko:K15581"	"ko01501,ko02010,ko02024,map01501,map02010,map02024"	"M00439"	"-"	"-"	"0.0"
"SPY_RS01370"	"amiD"	"-"	"SPy_0295"	"ABC transporter permease"	"amiD"	"ABC transporter (Permease"	"-"	"-"	"-"	"-"	"ko:K15582"	"ko01501,ko02010,ko02024,map01501,map02010,map02024"	"M00439"	"-"	"-"	"9.35e-203"
"SPY_RS01375"	"amiE"	"-"	"SPy_0296"	"ABC transporter ATP-binding protein"	"amiE"	"Belongs to the ABC transporter superfamily"	"-"	"-"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"ko:K15583"	"ko01501,ko02010,ko02024,map01501,map02010,map02024"	"M00439"	"-"	"-"	"2.2799999999999998e-250"
"SPY_RS01380"	"amiF"	"-"	"SPy_0297"	"ABC transporter ATP-binding protein"	"amiF"	"Belongs to the ABC transporter superfamily"	"-"	"-"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"ko:K10823"	"ko01501,ko02010,ko02024,map01501,map02010,map02024"	"M00439"	"-"	"-"	"2.6400000000000002e-213"
"SPY_RS01420"	"sigH"	"-"	"SPy_0300"	"sigma-70 family RNA polymerase sigma factor"	"sigH"	"DNA-templated transcription, initiation"	"-"	"-"	"-"	"-"	"ko:K03088,ko:K03091,ko:K12296"	"ko02020,ko02024,map02020,map02024"	"-"	"-"	"-"	"7.32e-108"
"SPY_RS01425"	"SPy_0303"	"-"	"SPy_0303"	"ISAs1-like element IS1548 family transposase"	"-"	"Transposase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.59e-278"
"SPY_RS09295"	"SPY_RS09295"	"-"	"-"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8.49e-13"
"SPY_RS01430"	"yqeG"	"-"	"SPy_0305"	"YqeG family HAD IIIA-type phosphatase"	"yqeG"	"hydrolase of the HAD superfamily"	"-"	"GO:0008962 - phosphatidylglycerophosphatase activity [Evidence IEA]"	"-"	"-"	"ko:K07015"	"-"	"-"	"-"	"-"	"4.01e-122"
"SPY_RS01435"	"yqeH"	"yqeH"	"SPy_0306"	"ribosome biogenesis GTPase YqeH"	"yqeH"	"in Bacillus subtilis this enzyme appears to be involved in 30S ribosomal RNA subunit biogenesis"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0003924 - GTPase activity [Evidence IEA] | GO:0005525 - GTP binding [Evidence IEA]"	"GO:0042254 - ribosome biogenesis [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0003924,GO:0006275,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0010556,GO:0010558,GO:0010605,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0022613,GO:0030174,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032297,GO:0042254,GO:0044085,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0060255,GO:0065007,GO:0071840,GO:0080090,GO:0090329,GO:2000104,GO:2000112,GO:2000113"	"ko:K06948"	"-"	"-"	"-"	"-"	"1.4799999999999999e-270"
"SPY_RS01440"	"yhbY"	"yhbY"	"SPy_0307"	"ribosome assembly RNA-binding protein YhbY"	"yhbY"	"RNA-binding protein containing KH domain, possibly ribosomal protein"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0003723 - RNA binding [Evidence IEA]"	"GO:0008150 - biological_process [Evidence IEA]"	"-"	"ko:K07574"	"-"	"-"	"-"	"-"	"5.02e-63"
"SPY_RS01445"	"nadD"	"-"	"SPy_0308"	"nicotinate-nucleotide adenylyltransferase"	"nadD"	"Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)"	"-"	"GO:0016779 - nucleotidyltransferase activity [Evidence IEA]"	"GO:0009435 - NAD biosynthetic process [Evidence IEA]"	"GO:0000309,GO:0003674,GO:0003824,GO:0004515,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046483,GO:0046496,GO:0051186,GO:0051188,GO:0055086,GO:0070566,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605"	"ko:K00969"	"ko00760,ko01100,map00760,map01100"	"M00115"	"R00137,R03005"	"RC00002"	"6.44e-152"
"SPY_RS01450"	"yqeK"	"yqeK"	"SPy_0309"	"bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK"	"yqeK"	"HD superfamily hydrolase involved in NAD metabolism"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.9e-142"
"SPY_RS01455"	"rsfS"	"rsfS"	"SPy_0310"	"ribosome silencing factor"	"rsfS"	"Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation"	"-"	"GO:0043022 - ribosome binding [Evidence IEA]"	"GO:0017148 - negative regulation of translation [Evidence IEA]"	"GO:0003674,GO:0005488,GO:0006417,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0017148,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0034248,GO:0034249,GO:0043021,GO:0043023,GO:0044087,GO:0044877,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090,GO:0090069,GO:0090071,GO:2000112,GO:2000113"	"ko:K09710"	"-"	"-"	"-"	"-"	"4.2800000000000003e-75"
"SPY_RS01460"	"yqeM"	"-"	"SPy_0312"	"class I SAM-dependent methyltransferase"	"yqeM"	"Methyltransferase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.6900000000000002e-179"
"SPY_RS01465"	"ylbM"	"-"	"SPy_0314"	"nucleotidyltransferase"	"ylbM"	"Belongs to the UPF0348 family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.21e-267"
"SPY_RS01470"	"yebC"	"-"	"SPy_0316"	"YebC/PmpR family DNA-binding transcriptional regulator"	"yeeN"	"transcriptional regulatory protein"	"-"	"-"	"-"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	"-"	"-"	"-"	"-"	"-"	"1.9500000000000003e-160"
"SPY_RS01475"	"SPy_0317"	"-"	"SPy_0317"	"amino acid ABC transporter substrate-binding protein"	"-"	"ABC transporter substrate-binding protein"	"-"	"-"	"-"	"-"	"ko:K02030"	"-"	"M00236"	"-"	"-"	"7.769999999999999e-197"
"SPY_RS01480"	"metQ"	"-"	"SPy_0319"	"MetQ/NlpA family ABC transporter substrate-binding protein"	"metQ"	"Belongs to the NlpA lipoprotein family"	"-"	"-"	"-"	"-"	"ko:K02073"	"ko02010,map02010"	"M00238"	"-"	"-"	"1.62e-194"
"SPY_RS01485"	"metN"	"-"	"SPy_0320"	"methionine ABC transporter ATP-binding protein"	"metN"	"Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system"	"-"	"-"	"-"	"-"	"ko:K02071"	"ko02010,map02010"	"M00238"	"-"	"-"	"6.6999999999999995e-242"
"SPY_RS01490"	"metI"	"-"	"SPy_0321"	"methionine ABC transporter permease"	"metI"	"ABC transporter (Permease"	"-"	"-"	"-"	"-"	"ko:K02072"	"ko02010,map02010"	"M00238"	"-"	"-"	"2.78e-156"
"SPY_RS01495"	"brnQ"	"brnQ"	"SPy_0323"	"branched-chain amino acid transport system II carrier protein"	"brnQ"	"Component of the transport system for branched-chain amino acids"	"-"	"GO:0015658 - branched-chain amino acid transmembrane transporter activity [Evidence IEA]"	"GO:0015803 - branched-chain amino acid transport [Evidence IEA]"	"-"	"ko:K03311"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS01500"	"sstT"	"sstT"	"SPy_0324"	"serine/threonine transporter SstT"	"sstT"	"Involved in the import of serine and threonine into the cell, with the concomitant import of sodium (symport system)"	"GO:0016020 - membrane [Evidence IEA]"	"GO:0015293 - symporter activity [Evidence IEA]"	"GO:0015826 - threonine transport [Evidence IEA] | GO:0032329 - serine transport [Evidence IEA]"	"-"	"ko:K07862"	"-"	"-"	"-"	"-"	"4.91e-267"
"SPY_RS01505"	"ktrA"	"ktrA"	"SPy_0326"	"potassium uptake transporter gating subunit KtrA"	"ktrA"	"COG0569 K transport systems, NAD-binding component"	"-"	"-"	"-"	"-"	"ko:K03499"	"-"	"-"	"-"	"-"	"6.120000000000001e-157"
"SPY_RS01510"	"ktrB"	"ktrB"	"SPy_0327"	"potassium uptake transporter channel subunit KtrB"	"ktrB"	"COG0168 Trk-type K transport systems, membrane components"	"-"	"-"	"-"	"-"	"ko:K03498"	"-"	"-"	"-"	"-"	"3.41e-314"
"SPY_RS01515"	"rsmG"	"rsmG"	"SPy_0329"	"16S rRNA (guanine(527)-N(7))-methyltransferase RsmG"	"rsmG"	"Ribosomal RNA small subunit methyltransferase G"	"GO:0005575 - cellular_component [Evidence IEA]"	"GO:0008168 - methyltransferase activity [Evidence IEA]"	"GO:0031167 - rRNA methylation [Evidence IEA] | GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]"	"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0036265,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070043,GO:0070475,GO:0070476,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360"	"ko:K03501"	"-"	"-"	"-"	"-"	"5.87e-166"
"SPY_RS01520"	"lemA"	"-"	"SPy_0330"	"LemA family protein"	"lemA"	"lemA family"	"-"	"-"	"-"	"-"	"ko:K03744"	"-"	"-"	"-"	"-"	"1.22e-121"
"SPY_RS01525"	"htpX"	"htpX"	"SPy_0331"	"zinc metalloprotease HtpX"	"htpX"	"Belongs to the peptidase M48B family"	"-"	"GO:0004222 - metalloendopeptidase activity [Evidence IEA]"	"GO:0006508 - proteolysis [Evidence IEA]"	"-"	"ko:K03799"	"-"	"M00743"	"-"	"-"	"8e-183"
"SPY_RS01530"	"ylbN"	"-"	"SPy_0334"	"DUF177 domain-containing protein"	"ylbN"	"metal-binding, possibly nucleic acid-binding protein"	"-"	"-"	"-"	"-"	"ko:K07040"	"-"	"-"	"-"	"-"	"1.94e-105"
"SPY_RS01535"	"covR"	"covR"	"-"	"two-component system response regulator CovR"	"csrR"	"Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.75e-158"
"SPY_RS01540"	"covS"	"covS"	"SPy_0336"	"two-component system sensor histidine kinase CovS"	"covS"	"Histidine kinase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS01545"	"nrdR"	"nrdR"	"SPy_0338"	"transcriptional regulator NrdR"	"nrdR"	"Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes"	"-"	"GO:0140110 - transcription regulator activity [Evidence IEA]"	"GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]"	"-"	"ko:K07738"	"-"	"-"	"-"	"-"	"3.22e-109"
"SPY_RS01550"	"dnaB"	"-"	"SPy_0339"	"replication initiation and membrane attachment family protein"	"dnaB"	"Replication initiation and membrane attachment"	"-"	"-"	"-"	"-"	"ko:K03346"	"-"	"-"	"-"	"-"	"2.1e-268"
"SPY_RS01555"	"dnaI"	"dnaI"	"SPy_0340"	"primosomal protein DnaI"	"dnaI"	"Primosomal protein DnaI"	"-"	"-"	"-"	"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837"	"ko:K11144"	"-"	"-"	"-"	"-"	"1.71e-210"
"SPY_RS01560"	"der"	"der"	"SPy_0341"	"ribosome biogenesis GTPase Der"	"der"	"GTPase that plays an essential role in the late steps of ribosome biogenesis"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0003924 - GTPase activity [Evidence IEA] | GO:0005525 - GTP binding [Evidence IEA] | GO:0043022 - ribosome binding [Evidence IEA]"	"GO:0042254 - ribosome biogenesis [Evidence IEA]"	"-"	"ko:K03977"	"-"	"-"	"-"	"-"	"2.06e-314"
"SPY_RS01565"	"snf"	"-"	"SPy_0342"	"DEAD/DEAH box helicase"	"snf"	"Superfamily II DNA RNA helicases, SNF2 family'"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS01570"	"SPy_0343"	"-"	"SPy_0343"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.32e-60"
"SPY_RS01575"	"murC"	"murC"	"SPy_0345"	"UDP-N-acetylmuramate--L-alanine ligase"	"murC"	"Belongs to the MurCDEF family"	"-"	"GO:0008763 - UDP-N-acetylmuramate-L-alanine ligase activity [Evidence IEA]"	"GO:0009252 - peptidoglycan biosynthetic process [Evidence IEA]"	"-"	"ko:K01924"	"ko00471,ko00550,ko01100,map00471,map00550,map01100"	"-"	"R03193"	"RC00064,RC00141"	"0.0"
"SPY_RS01580"	"SPy_0346"	"-"	"SPy_0346"	"N-acetyltransferase"	"-"	"histone acetyltransferase HPA2 and related acetyltransferases"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.1800000000000001e-109"
"SPY_RS01585"	"mltG"	"mltG"	"SPy_0348"	"endolytic transglycosylase MltG"	"mltG"	"Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation"	"-"	"GO:0008932 - lytic endotransglycosylase activity [Evidence IEA]"	"GO:0009252 - peptidoglycan biosynthetic process [Evidence IEA] | GO:0071555 - cell wall organization [Evidence IEA]"	"-"	"ko:K07082"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS01590"	"greA"	"greA"	"SPy_0349"	"transcription elongation factor GreA"	"greA"	"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides"	"-"	"-"	"-"	"GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576"	"ko:K03624"	"-"	"-"	"-"	"-"	"6.05e-103"
"SPY_RS01595"	"yidC"	"yidC"	"SPy_0351"	"membrane protein insertase YidC"	"yidC"	"Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins"	"-"	"-"	"-"	"-"	"ko:K03217"	"ko02024,ko03060,ko03070,map02024,map03060,map03070"	"M00335"	"-"	"-"	"4.68e-207"
"SPY_RS01600"	"acyP"	"-"	"SPy_0352"	"acylphosphatase"	"acyP"	"Belongs to the acylphosphatase family"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0003998,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0016787,GO:0016817,GO:0016818,GO:0050896"	"ko:K01512"	"ko00620,ko00627,ko01120,map00620,map00627,map01120"	"-"	"R00317,R01421,R01515"	"RC00043"	"6.69e-61"
"SPY_RS09335"	"SPY_RS09335"	"-"	"-"	"exfoliative toxin"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.26e-15"
"SPY_RS01605"	"SPy_0355"	"-"	"SPy_0355"	"ISAs1-like element IS1548 family transposase"	"-"	"Transposase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8.34e-159"
"SPY_RS01610"	"spoU"	"-"	"SPy_0356"	"RNA methyltransferase"	"spoU"	"Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family"	"-"	"-"	"-"	"-"	"ko:K03437"	"-"	"-"	"-"	"-"	"1.6100000000000001e-167"
"SPY_RS01615"	"SPy_0357"	"-"	"SPy_0357"	"HD domain-containing protein"	"XK27_09705"	"HD superfamily hydrolase"	"-"	"-"	"-"	"-"	"ko:K06950"	"-"	"-"	"-"	"-"	"2.65e-118"
"SPY_RS01620"	"ybhL"	"-"	"SPy_0358"	"Bax inhibitor-1/YccA family protein"	"ybhL"	"Belongs to the BI1 family"	"-"	"-"	"-"	"-"	"ko:K06890"	"-"	"-"	"-"	"-"	"5.13e-147"
"SPY_RS01625"	"yneF"	"-"	"SPy_0359"	"YneF family protein"	"yneF"	"UPF0154 protein"	"-"	"-"	"-"	"-"	"ko:K09976"	"-"	"-"	"-"	"-"	"7.319999999999999e-46"
"SPY_RS01630"	"racE"	"racE"	"SPy_0361"	"glutamate racemase"	"murI"	"Provides the (R)-glutamate required for cell wall biosynthesis"	"-"	"GO:0008881 - glutamate racemase activity [Evidence IEA]"	"GO:0006807 - nitrogen compound metabolic process [Evidence IEA]"	"GO:0000270,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0008881,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016853,GO:0016854,GO:0016855,GO:0030203,GO:0034645,GO:0036361,GO:0042546,GO:0042802,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0047661,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576"	"ko:K01776,ko:K02428"	"ko00230,ko00471,ko01100,map00230,map00471,map01100"	"-"	"R00260,R00426,R00720,R01855,R02100,R02720,R03531"	"RC00002,RC00302"	"2.7099999999999997e-189"
"SPY_RS01635"	"rdgB"	"-"	"SPy_0362"	"nucleoside-triphosphate diphosphatase"	"rdgB"	"nucleoside triphosphate catabolic process"	"-"	"GO:0047429 - nucleoside triphosphate diphosphatase activity [Evidence IEA]"	"GO:0009143 - nucleoside triphosphate catabolic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009141,GO:0009143,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0046483,GO:0046700,GO:0047429,GO:0055086,GO:0071704,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576"	"ko:K01776,ko:K02428"	"ko00230,ko00471,ko01100,map00230,map00471,map01100"	"-"	"R00260,R00426,R00720,R01855,R02100,R02720,R03531"	"RC00002,RC00302"	"4.51e-236"
"SPY_RS01640"	"ysnB"	"-"	"SPy_0363"	"metallophosphoesterase"	"ysnB"	"Phosphoesterase"	"-"	"-"	"-"	"GO:0003674,GO:0005488,GO:0008270,GO:0043167,GO:0043169,GO:0046872,GO:0046914"	"ko:K07095"	"-"	"-"	"-"	"-"	"3.19e-127"
"SPY_RS01645"	"ykuL"	"-"	"SPy_0364"	"CBS domain-containing protein"	"ykuL"	"CBS domain"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.1499999999999997e-104"
"SPY_RS01650"	"xerD"	"xerD"	"SPy_0365"	"site-specific tyrosine recombinase XerD"	"xerD"	"tyrosine recombinase. Not involved in the cutting and rejoining of the recombining DNA molecules on dif(SL) site"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.05e-169"
"SPY_RS01655"	"scpA"	"-"	"SPy_0366"	"segregation/condensation protein A"	"scpA"	"Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves"	"-"	"-"	"-"	"GO:0003674,GO:0005488,GO:0005515,GO:0042802"	"ko:K05896"	"-"	"-"	"-"	"-"	"6.18e-148"
"SPY_RS01660"	"scpB"	"scpB"	"SPy_0367"	"SMC-Scp complex subunit ScpB"	"scpB"	"Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves"	"-"	"GO:0005515 - protein binding [Evidence IEA]"	"GO:0007059 - chromosome segregation [Evidence IEA]"	"GO:0003674,GO:0005488,GO:0005515,GO:0042802"	"ko:K06024"	"-"	"-"	"-"	"-"	"1.22e-120"
"SPY_RS01665"	"rluB"	"-"	"SPy_0369"	"pseudouridine synthase"	"rluB"	"Belongs to the pseudouridine synthase RsuA family"	"-"	"-"	"-"	"-"	"ko:K06178"	"-"	"-"	"-"	"-"	"3.66e-166"
"SPY_RS01670"	"yidD"	"yidD"	"SPy_0370"	"membrane protein insertion efficiency factor YidD"	"ytjA"	"Could be involved in insertion of integral membrane proteins into the membrane"	"-"	"-"	"-"	"-"	"ko:K08998"	"-"	"-"	"-"	"-"	"7.470000000000001e-58"
"SPY_RS01675"	"cspR"	"-"	"SPy_0371"	"tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL"	"cspR"	"Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily"	"-"	"-"	"-"	"-"	"ko:K03216"	"-"	"-"	"-"	"-"	"2.4900000000000002e-133"
"SPY_RS01680"	"ribU"	"-"	"SPy_0373"	"ECF transporter S component"	"ribU"	"Mediates riboflavin uptake, may also transport FMN and roseoflavin. Probably a riboflavin-binding protein that interacts with the energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. The substrates themselves are bound by transmembrane, not extracytoplasmic soluble proteins"	"-"	"GO:0022857 - transmembrane transporter activity [Evidence IEA]"	"-"	"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015238,GO:0015711,GO:0015893,GO:0016020,GO:0022857,GO:0032217,GO:0032218,GO:0034220,GO:0035461,GO:0042221,GO:0042493,GO:0044464,GO:0050896,GO:0051179,GO:0051180,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0090482,GO:0098656"	"-"	"-"	"-"	"-"	"-"	"1.5900000000000001e-118"
"SPY_RS01685"	"yodM"	"-"	"SPy_0374"	"phosphatase PAP2 family protein"	"yodM"	"Membrane-associated phospholipid phosphatase"	"-"	"-"	"-"	"-"	"ko:K19302"	"ko00550,map00550"	"-"	"R05627"	"RC00002"	"2.2900000000000002e-144"
"SPY_RS01690"	"ytqA"	"-"	"SPy_0376"	"TIGR01212 family radical SAM protein"	"ytqA"	"radical SAM protein"	"-"	"GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]"	"-"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"ko:K07139"	"-"	"-"	"-"	"-"	"6.39e-234"
"SPY_RS01695"	"mraW1"	"-"	"SPy_0377"	"class I SAM-dependent methyltransferase"	"mraW1"	"(SAM)-dependent"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.94e-122"
