												annotations												log2 SILAC ratios UV / ctrl																												protein abundances																															
P0C0B8	polC	M5005_Spy1672;SPy_1961	DNA polymerase III PolC-type OS=Streptococcus pyogenes serotype M1 OX=301447 GN=polC PE=3 SV=1	DNA polymerase III PolC-type {ECO:0000255|HAMAP-Rule:MF_00356}	olIII {ECO:0000255|HAMAP-Rule:MF_00356}		44	55	1465	164.6	5.52	DNA-dependent DNA replication	3'-5' exonuclease activity;DNA binding;DNA-directed DNA polymerase activity	cytoplasm	DNA_pol3_a_NI;DNA_pol3_a_NII;DNA_pol3_alpha;HHH_6;PHP;RNase_T	PF00929;PF02811;PF07733;PF11490;PF14480;PF14579	DNA_pol3_alpha_NTPase_dom;DNA_polC-like_N_II;DNA_polC-type_N_I;DNAPol_HHH;DnaQ;Exonuclease_RNaseT/DNA_pol3;NA-bd_OB-fold;PHP_dom;Pol/His_phosphatase_N;Pol/histidinol_Pase-like;PolC_gram_pos;RNaseH_sf;RNaseH-like_sf	IPR003141;IPR004013;IPR006054;IPR006308;IPR011708;IPR012337;IPR012340;IPR013520;IPR016195;IPR024754;IPR028112;IPR029460;IPR036397		2.7.7.7	Required for replicative DNA synthesis. This DNApolymerase also exhibits 3' to 5' exonuclease activity	Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00356}.	RBP	0.058057905	-0.068988111	0.036852205	0.008926027	0.810826255	0.99496711	0.008712007	0.021530524	-0.039684677	0.123903938	0.002064892	0.551049402	0.996825293	0.026953669	-0.272799627	0.222840767	0.107643126	0.524247203	0.395019672	0.484849218	0.145482867	0.452621235	0.074676721	0.167245842	-0.201834587	0.423779943	0.478158785	0.123177303	1181683785	1010332063	1198750771	959324323.7	1042509830	932750515.6	1070529856	1132220319	1043533430	1003391951	1056991160	880922326.4	1086614683	1102881240	1271629336	1143771797	16723985.58	17898921.4	22233773.91	8636803.083	16129130.8	37572335.06	21173588.85	17222320.69	11682745.94	11638788.08	10059017.7	4680315.291	16691471.52	9957635.473	10187276.16	6169986.837
Q99Y52		SPy_1866	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1866 PE=4 SV=1				30	8	389	42.4	7.61			integral component of membrane			BaiN-like;FAD/NAD-bd_sf;HI0933-like_dom_sf	IPR004792;IPR023166;IPR036188					-	0.020026643	0.033976312	0.059030811	-0.01032955	0.400277668	0.930974226	0.025676054	0.370495249	-0.16866118	0.097024996	0.017399582	0.471369156	0.996825293	0.079064662	0.542327105	0.741127229	0.391106297	0.492596898	0.003227702	0.009059084	0.541789382	2.046815407	1.542127467	0.708145487	6.608273394	0.070494333	0.099682375	2.726340438	94137638.12	91651165.41	83442228.23	77714846.11	92776894.14	91368128.35	94535948.77	104495423	60381550.57	71811913.04	56895443.45	73029308.05	65379088.56	64652655.23	55534164.64	52204837.33	7066798.525	8992934.3	10433588.89	4197735.333	5449451.208	5956235.506	7411022.117	4820869.304	927927.3397	2399981.396	3054973.008	254994.9191	1710463.641	2545869.056	3036788.344	NA
Q9A178	metG	M5005_Spy0345;SPy_0422	Methionine--tRNA ligase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=metG PE=3 SV=2	Methionine--tRNA ligase		 OrderedLocusNames=SPy_0422;metS	50	27	665	75.1	5.15	methionyl-tRNA aminoacylation	ATP binding;methionine-tRNA ligase activity;tRNA binding	cytoplasm	tRNA_bind;tRNA-synt_1g	PF01588;PF09334	Methionyl/Leucyl_tRNA_Synth;MetRS_core;Met-tRNA_synth;Met-tRNA_synth_2;Met-tRNA-synth_bsu_C;NA-bd_OB-fold;Rossmann-like_a/b/a_fold;tRNA-bd_dom;tRNAsynth_Ia_anticodon-bd	IPR002547;IPR004495;IPR009080;IPR012340;IPR014729;IPR014758;IPR015413;IPR023457;IPR033911		6.1.1.10	Is required not only for elongation of protein synthesisbut also for the initiation of all mRNA translation throughinitiator tRNA(fMet) aminoacylation.	Cytoplasm {ECO:0000250}.	RBP	0.020026643	0.005863846	0.059030811	-0.046143855	0.767766028	0.986722081	0.009694361	0.037823098	0.03681227	0.09907867	0.026161249	0.195782627	0.996825293	0.049968822	2.203567007	1.269283541	1.568971633	1.77180011	0.000540744	0.002202714	1.703405573	1.986804749	1.167510541	2.378361834	0.8494497	0.006179775	0.013168601	1.595531706	2213947338	2258563092	2288095370	2109711904	2213698310	2229235618	1990275957	2441309605	1990187743	1995406776	1777514509	1863999035	2204714041	2299292453	2618150572	2151658895	155554493.9	199485768.7	178063056.4	217856990.7	171950777.5	226676900.2	175212475.2	264161009.2	197049725.1	182890199	138133931.6	170151964.3	202097609.7	212552845.2	161593229.7	218506588.8
Q9A108	vicR	SPy_0528	Two-component response regulator OS=Streptococcus pyogenes serotype M1 OX=301447 GN=vicR PE=4 SV=1				70	14	236	27.1	5.25	phosphorelay signal transduction system;regulation of transcription, DNA-templated	DNA binding		Response_reg;Trans_reg_C	PF00072;PF00486	CheY-like_superfamily;OmpR/PhoB-type_DNA-bd;Sig_transdc_resp-reg_C-effctor;Sig_transdc_resp-reg_receiver;WalR-like;WH-like_DNA-bd_sf	IPR001789;IPR001867;IPR011006;IPR016032;IPR036388;IPR039420					-	0.275281883	-0.098043849	0.101110344	-0.229921117	0.907950996	0.998860838	0.012106815	0.111251855	-0.160289542	0.042087701	-0.212858719	0.490278337	0.996825293	-0.054952176	1.531355957	1.161557841	1.741262159	1.019714934	0.000744575	0.002824017	1.363472723	2.594330069	2.181232754	2.567687829	2.490730976	1.92E-05	0.000215878	2.458495407	803956542	801764050.4	840424213.2	783576463	1032604497	820251599.4	728942005.9	900181666.6	794787778.2	892262280.2	809005276.1	749361236.3	831038080.3	813440391.1	836400372.9	792707631.9	18925182.6	43908639.11	51652755.69	18101570.48	14128798.57	37203591.1	41102967.5	24005290.2	10505483.37	51480768.69	52998787.73	9490370.705	11067475.67	49586259.52	46670269.45	7816944.447
Q9A1H9	rsgA	M5005_Spy0223;SPy_0263	Small ribosomal subunit biogenesis GTPase RsgA OS=Streptococcus pyogenes serotype M1 OX=301447 GN=rsgA PE=3 SV=1	Small ribosomal subunit biogenesis GTPase RsgA {ECO:0000255|HAMAP-Rule:MF_01820}			60	12	290	32.8	6.8	ribosomal small subunit biogenesis	GTP binding;GTPase activity;metal ion binding;rRNA binding	cytoplasm	RsgA_GTPase;RsgA_N	PF03193;PF16745	G_CP_dom;NA-bd_OB-fold;P-loop_NTPase;Ribosome_biogen_GTPase_RsgA;RsgA_GTPase_dom;RsgA_N	IPR004881;IPR010914;IPR012340;IPR027417;IPR030378;IPR031944		3.6.1.-	One of several proteins that assist in the latematuration steps of the functional core of the 30S ribosomalsubunit. Helps release RbfA from mature subunits. May play a rolein the assembly of ribosomal proteins into the subunit. Circularlypermuted GTPase that catalyzes slow GTP hydrolysis, GTPaseactivity is stimulated by the 30S ribosomal subunit	Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01820}.	RBP	-0.114633294	-0.048743649	-0.019659967	-0.111518908	0.07960876	0.750287289	-0.073638955	-0.158790407	-0.083482429	0.468444906	-0.157264873	0.902553937	0.996825293	0.017226799	1.165314152	1.352097357	1.34509885	1.114944812	8.33E-05	0.000626006	1.244363793	3.335745968	2.384131415	3.950139144	3.165047604	0.000288061	0.001159824	3.208766033	212220338.3	212589270.8	183333439.1	175265505.5	218970041.5	217598062.4	181650356.1	240430201.1	151349300.5	188484977.3	204198628.3	188626233.3	155665956.6	237943292.6	192384737.9	211075708.2	8899052.525	18995099.72	19323877.34	5851158.926	6673808.165	11333873.95	16745853.21	7704182.807	2231161.172	21177565.16	24422607.02	3213005.078	1294040.724	25048484.82	22484317.25	2741342.578
Q99Z63	nrdE.2	SPy_1375	Ribonucleoside-diphosphate reductase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=nrdE.2 PE=3 SV=1	Ribonucleoside-diphosphate reductase {ECO:0000256|RuleBase:RU003410}			59	32	719	81.3	5.53	DNA replication	ATP binding;ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor		Ribonuc_red_lgC;Ribonuc_red_lgN;RNR_N	PF00317;PF02867;PF08343	NrdE_NrdA;RNR_1b_NrdE;RNR_lg_C;RNR_lsu_N;RNR_N;RNR_R1-su_N;Rrm1	IPR000788;IPR008926;IPR013346;IPR013509;IPR013554;IPR026459;IPR039718		1.17.4.1	Provides the precursors necessary for DNA synthesis.Catalyzes the biosynthesis of deoxyribonucleotides from thecorresponding ribonucleotides.		-	0.062334628	-0.061640131	0.073362004	-0.067634824	0.970589035	0.998860838	0.001605419	0.057002687	0.091940295	-0.041558912	-0.072686829	0.854144894	0.996825293	0.00867431	0.094936562	-0.107839011	0.17360542	-0.159568955	0.997706298	0.999665028	0.000283504	-0.030816309	0.194329086	0.1603211	0.037956444	0.371413413	0.425346199	0.09044758	2106411894	3614127966	2062128784	1889387679	2147564902	2859622434	2035755843	4882775924	2355084558	2444929708	2408440370	2131587212	2602655410	2324560440	2669902179	2928671340	196699701.5	122132867.7	110056955.4	102827907.3	178578983.8	112012360.2	98953902.1	127993662.6	110341291.2	50303619.59	34473912.36	35787051.99	120907894.2	74516774.04	45933460.56	49136843.38
Q9A0J7		SPy_0747	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0747 PE=4 SV=1				51	39	910	99.7	6.83			integral component of membrane	Exo_endo_phos	PF03372	Endo/exonu/phosph_ase_sf;Endo/exonuclease/phosphatase	IPR005135;IPR036691					-	-0.026237429	-0.436173074	0.023834174	-0.660311385	0.127124743	0.794322939	-0.274721929	0.05812139	-0.844207677	-0.090439968	-0.16098459	0.206455291	0.996825293	-0.259377711	0.16735229	-0.261114556	0.03326279	-0.409154803	0.411938949	0.501957446	-0.11741357	-0.02132012	-0.760478471	-0.111882998	-0.612226953	0.093629769	0.127223398	-0.376477136	362626800.9	1004202198	299285130.9	893028725.5	405604826.5	1001673348	216434708.2	1133715627	100925146.9	1185506037	101409671.4	1273060421	256288110.7	910997181.5	185626050.2	952480465.8	347107928.4	462717431.7	267024597	299973956	309314524.9	401134657	260102758	482673087.5	260196910.7	256753930	137438206.2	257439499.6	370157159.5	351123417.7	191220479	298610299.9
Q99Z29	gpmA	M5005_Spy1164;SPy_1429	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=gpmA PE=3 SV=2	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase {ECO:0000255|HAMAP-Rule:MF_01039}	GAM {ECO:0000255|HAMAP-Rule:MF_01039};hosphoglyceromutase {ECO:0000255|HAMAP-Rule:MF_01039};PG-dependent PGAM {ECO:0000255|HAMAP-Rule:MF_01039};PGM {ECO:0000255|HAMAP-Rule:MF_01039}		75	15	231	26	5.21	gluconeogenesis;glycolytic process	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity		His_Phos_1	PF00300	His_Pase_superF_clade-1;His_PPase_superfam;Phosphogly_mut1	IPR005952;IPR013078;IPR029033		5.4.2.11	Catalyzes the interconversion of 2-phosphoglycerate and3-phosphoglycerate.		-	-0.02544371	-0.020594685	-0.067487284	-0.044272455	0.203127757	0.882289451	-0.039449534	-0.001500987	-0.048950682	0.018930737	-0.043516933	0.592208909	0.996825293	-0.018759466	1.326642904	1.161557841	0.980499359	1.204457521	0.00014376	0.000852435	1.168289406	1.382790127	1.410734211	1.516598167	1.480695336	4.77E-05	0.000332063	1.44770446	10400792476	9886945819	12698806286	11176779302	8553095653	7689171531	6058481412	6990491661	10524643923	10402189687	12140164076	11421406104	9007725900	9705849287	10456846569	10129729124	79458626.51	206696561.1	167361067	88594146.25	184048611.2	307270066.9	172621771.7	131234103.7	112082129.3	226464237.3	246419249.7	83932447	117951591.8	256402589.4	224680772.5	73127876.92
Q99ZE7		SPy_1260	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1260 PE=4 SV=1				80	11	163	17.4	4.75				Asp23	PF03780	Asp23	IPR005531					-	-0.184390119	0.190349028	-0.151660328	0.144104949	0.996564018	0.998860838	-0.000399118	-0.108685049	0.099217723	-0.140641778	0.050587711	0.689470295	0.996825293	-0.024880348	0.332866983	0.471602983	-0.126868444	0.251960946	0.13569747	0.199054477	0.232390617	0.654380817	1.084949753	0.408771485	0.645202832	0.007421488	0.015386013	0.698326222	3554959452	3335775077	4202233603	3434573099	3689242325	3435352352	2914263324	3155934362	3393500878	3138561614	3385059056	2901005189	3649306478	3204837286	3258078866	2955891658	112876791.7	133524127.6	162232639.9	104822616.1	143779108.6	124435986	161941616.3	165150247.3	68059058.56	68933022.52	101011461.1	27329142.67	73216260.51	78103851.94	78541117.44	30812889
Q99XZ6		SPy_1945	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1945 PE=4 SV=1				46	9	250	28.5	4.74				SseB	PF07179	SseB_N	IPR009839					-	0.201882155	0.154561341	0.606894861	0.181157094	0.039147914	0.608967552	0.286123862	0.303031068	0.046942385	0.331519942	0.302525645	0.01728076	0.622241407	0.24600476	1.40057849	1.749142695	0.907147319	0.74586243	0.003707867	0.010136443	1.200682733	1.205402912	1.295122666	1.98537902	1.682533947	0.000722532	0.002342107	1.542109636	93605339.33	116258257.8	144116528.6	112890998.2	68811995.78	84150915.54	62746607.68	61744213.19	83864694.66	96995406.7	127248808.8	106302173.8	73489115.48	96878569.56	128914187.2	79670511.36	1903660.284	3402745.931	4684807.612	1403274.965	1243387.283	4176088.879	3858628.384	2712490.414	1408369.816	2671053.691	2402171.87	471438.4165	240965.0996	2005252.262	3666364.646	235960.1605
Q9A0J4		SPy_0752	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0752 PE=4 SV=1				44	11	340	37.3	5.97		NAD+ kinase activity		DAGK_cat	PF00781	ATP-NAD_kinase_N;Diacylglycerol/lipid_kinase;Diacylglycerol_kinase_cat_dom;NAD/diacylglycerol_kinase_sf	IPR001206;IPR005218;IPR016064;IPR017438					-	0.03549236	-0.066288359	0.108659191	-0.125286779	0.827326855	0.998012937	-0.011855897	0.011749995	-0.062455596	-0.024993396	0.03868119	0.802385748	0.996825293	-0.009254452	1.751890468	1.575069235	1.441375337	1.288545586	0.000102166	0.000698402	1.514220156	3.029750919	2.025982262	3.137682157	2.101164035	0.000508482	0.001776205	2.573644843	475795195.9	479905814.9	487076115.7	428196751.9	444227470.8	463868748.7	448362714.5	538796446.5	622483867.1	587171559.6	596522484.4	546248997.3	644169400.8	601487328.5	647598895.4	612896530	7519817.397	21774981.88	21236615.77	6610147.468	16289837.07	19157597.21	16704346.68	8046201.671	2474029.261	17411646.78	18265831.52	3718176.232	2251274.949	14910516.87	15976354.4	2845733.886
Q9A0J1	atpF	M5005_Spy0577;SPy_0756	ATP synthase subunit b OS=Streptococcus pyogenes serotype M1 OX=301447 GN=atpF PE=3 SV=1	ATP synthase subunit b {ECO:0000255|HAMAP-Rule:MF_01398}			53	8	164	17.8	4.82	ATP synthesis coupled proton transport	proton-transporting ATP synthase activity, rotational mechanism	integral component of membrane;plasma membrane;proton-transporting ATP synthase complex, coupling factor F(o)	ATP-synt_B	PF00430	ATP_synth_b/b'su_bac/chlpt;ATP_synth_B-like_membr_sf;ATP_synth_F0_bsu_bac	IPR002146;IPR005864;IPR028987			F(1)F(0) ATP synthase produces ATP from ADP in thepresence of a proton or sodium gradient. F-type ATPases consist oftwo structural domains, F(1) containing the extramembraneouscatalytic core and F(0) containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. Duringcatalysis, ATP synthesis in the catalytic domain of F(1) iscoupled via a rotary mechanism of the central stalk subunits toproton translocation.	 Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01398}.;Cell membrane {ECO:0000255|HAMAP-Rule:MF_01398}	-	0.257750345	0.299567292	0.541145257	-0.107993239	0.10199068	0.773583996	0.247617414	-0.031366065	0.566321699	-0.547284767	-0.088508412	0.904171034	0.996825293	-0.025209386	5.353113156	1.490103875	-0.104920184	-0.937583213	0.28534934	0.373661189	1.450178408	6.104328179	NA	6.574318812	-1.289990077	0.153836082	0.196141005	NA	115893983.3	676616702.5	142875236.6	602952416.9	98596138.33	718176213.2	103285865.9	668951681	161101391.8	591554117.7	298406121.5	669290610.3	160933090.5	415657233.8	108983141.4	496877618	444399.379	13013070.78	1520976.054	6010872.031	1008384.654	10922595.92	1783127.677	8423177.263	984360.3352	12543502.2	743391.6787	2911603.664	123093.4686	15673996.07	128227.2337	5168282.255
Q9A0U4	murM	SPy_0616	Putative peptidoglycan branched peptide synthesis protein, serine/alanine adding enzyme OS=Streptococcus pyogenes serotype M1 OX=301447 GN=murM PE=4 SV=1				50	15	408	46	9.33	cell wall macromolecule biosynthetic process	transferase activity, transferring amino-acyl groups		FemAB	PF02388	Acyl_CoA_acyltransferase;FEMABX	IPR003447;IPR016181					-	0.23376451	-0.180362766	0.142229902	-0.111518908	0.823931712	0.998012937	0.021028184	0.147662852	0.034296679	0.159883344	-0.084197348	0.317626492	0.996825293	0.064411382	1.374312126	0.404940157	1.219632406	0.90850925	0.006299275	0.015418575	0.976848485	4.365543777	1.744755019	2.308215716	2.167333491	0.005650562	0.01228034	2.646462001	343101799.1	382698087.7	329878273	328215209.3	366590223.3	429806161.1	320920989.2	419577282	247875806	314823445.2	285239100.4	322719155.9	308329512.3	332131904.1	330544852.8	340147241.8	10056232.24	27136442.28	23371921.17	10043816.91	8388850.79	23137195.84	14019535.18	7896210.831	331490.655	16902034.05	9009269.39	1411285.405	1134372.112	12967934.98	9505044.639	3116847.948
Q99ZB0		SPy_1308	Putative esterase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1308 PE=4 SV=1				34	9	327	37.7	8.76		hydrolase activity		Abhydrolase_3	PF07859	AB_hydrolase;AB_hydrolase_3	IPR013094;IPR029058					-	-0.167215173	0.10340378	-0.122801925	0.033841663	0.559017946	0.938770035	-0.038192914	-0.022666261	-0.032677683	-0.100292644	-0.098906296	0.133736299	0.996825293	-0.063635721	-0.344051517	-0.121181101	-0.085229062	0.460987993	0.894234595	0.932996432	-0.022368422	NA	NA	NA	NA	NA	NA	NA	299443784.5	268605829	291199924.4	233319265.2	308217834.8	276699942.4	267712880.6	300221819.6	283308505.8	281276068.7	279752004.5	261562783.9	293848766.8	277141085.5	291983759.2	279255637.8	3091373.87	2007972.758	3138779.609	2939595.937	2973021.223	3616951.293	2495742.455	2798085.068	795068.3065	277979.8356	428697.5781	104131.2679	365959.079	94563.27599	353815.4656	360718.6701
Q9A0C1		SPy_0841	UPF0109 protein SPy_0841 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0841 PE=3 SV=1	UPF0109 protein SPy_0841 {ECO:0000256|HAMAP-Rule:MF_00088}			72	4	79	8.9	6.05		RNA binding				KH_dom-like_a/b;KH_sf_prok-type;UPF0109	IPR009019;IPR015946;IPR020627					RBP	-0.191343207	0.127270117	-0.059846847	0.021883641	0.704631224	0.982869905	-0.025509074	0.041355006	0.147662852	-0.053930603	0.091935317	0.289325596	0.996825293	0.056755643	1.449976207	2.579481724	-0.541461272	1.542474144	0.083873438	0.132498002	1.257617701	NA	NA	NA	NA	NA	NA	NA	242409373.3	217466258.5	281769743.9	223996464.3	240347997.2	212978194.9	205973148.6	240499096.7	160764787	159759921.7	200356479.8	173250823.3	187712593.2	206947389.4	208557419.1	176396223.2	1099955.892	3992149.881	5391836.74	622021.7418	3902043.098	3398357.983	876461.2583	194800.6397	5619567.85	2007614.579	4885724.075	592532.2374	191904.9045	1823201.16	2638302.081	1279538.969
Q9A144		SPy_0472	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0472 PE=4 SV=1				38	6	191	21.9	6.55				UDG	PF03167	Uracil-DNA_glycosylase-like;Uracil-DNA_glycosylase-like_sf	IPR005122;IPR036895					-	0.327299303	0.121799717	0.313858199	0.077498688	0.024871973	0.560460256	0.210113977	0.198327346	-0.089223096	-0.023846176	0.17567388	0.388523194	0.996825293	0.065232989	NA	NA	NA	NA	NA	NA	NA	2.154339417	1.867588874	NA	6.608273394	0.059379264	0.085869824	NA	33002770.88	37946414.83	46944719.51	36779992.36	23365665.9	26405721.61	26185701.89	31560046.73	81986118.79	89320684.8	102909081.2	94779709.33	83945740.54	84460277.93	111149152.4	93389203.91	28925129.63	489449.3627	25068780.88	NA	20646079.2	351695.9285	18676394.27	NA	34222345.64	1655026.855	29145684.09	181085.5059	39530726.55	916373.4033	24704205.13	NA
Q9A1K1	radA	M5005_Spy0200;SPy_0236	DNA repair protein RadA OS=Streptococcus pyogenes serotype M1 OX=301447 GN=radA PE=3 SV=1	DNA repair protein RadA {ECO:0000255|HAMAP-Rule:MF_01498}		sms	49	13	453	49.3	6.01	recombinational repair	ATP binding;damaged DNA binding;DNA-dependent ATPase activity;metal ion binding				AAA+_ATPase;DNA_repair_RadA;P-loop_NTPase;RecA_ATP-bd;Ribosomal_S5_D2-typ_fold;Ribosomal_S5_D2-typ_fold_subgr	IPR003593;IPR004504;IPR014721;IPR020568;IPR020588;IPR027417		3.6.4.-	DNA-dependent ATPase involved in processing ofrecombination intermediates, plays a role in repairing DNA breaks.Stimulates the branch migration of RecA-mediated strand transferreactions, allowing the 3' invading strand to extend heteroduplexDNA faster. Binds ssDNA in the presence of ADP but not othernucleotides, has ATPase activity that is stimulated by ssDNA andvarious branched DNA structures, but inhibited by SSB. Does nothave RecA's homology-searching function.		-	-0.007865216	0.038984439	-0.086178481	-0.018337137	0.606865078	0.948356955	-0.018349099	-0.094082798	0.122536965	-0.172228315	0.050587711	0.734381145	0.996825293	-0.023296609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117289879.7	113539166.5	132538783.2	108556475	148976433.8	114264887.3	122667858.3	119934602.2	98553912.79	86770903.95	111331265	80316060.64	96312192.02	79738880.66	98169146.93	69591716.31	81288.03657	418566.711	491525.3017	NA	NA	52487.55875	335576.3858	109361.5388	57143.97583	NA	95982.53202	NA	25031.66243	58068.22134	396918.7843	380514.4105
Q99ZV4		SPy_1057	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1057 PE=4 SV=1				13	2	141	15.2	4.26	phosphoenolpyruvate-dependent sugar phosphotransferase system		integral component of membrane	EIIA-man	PF03610	PTS_EIIA_man-typ;PTS_EIIA_man-typ_sf;PTS_IIA_man	IPR004701;IPR033887;IPR036662					-	-0.599423044	0.631507485	-0.628786218	0.737172808	0.918698992	0.998860838	0.035117758	-0.527622422	0.491406886	-0.295202132	0.41532375	0.928172966	0.996825293	0.020976521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51153157.94	15562164.72	71100668.66	20332106.55	42386695.13	14455254.1	39364581.42	14373829.36	76955976.69	25763577.16	96254613.06	27714397.8	71997804.3	34269851.58	40605210	26800134.97	38731.42356	NA	NA	NA	27497.62466	NA	35262.09023	NA	640435.1584	NA	588223.0907	356278.5397	946993.8254	NA	673995.7408	NA
Q9A158		SPy_0450	Putative metal-dependent transcriptional regulator OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0450 PE=4 SV=2				46	8	215	24.8	6.52		DNA binding;DNA-binding transcription factor activity;protein dimerization activity;transition metal ion binding		Fe_dep_repr_C;Fe_dep_repress;FeoA	PF01325;PF02742;PF04023	Fe_dep_repressor;Fe_dep_repressor_sf;FeoA_core_dom;Fe-transptr_FeoA;HTH_DTXR;Iron_dep_repressor;WH_DNA-bd_sf;WH-like_DNA-bd_sf	IPR001367;IPR007167;IPR022687;IPR022689;IPR036388;IPR036390;IPR036421;IPR038157					-	-0.123024163	0.018211934	-0.086178481	0.040353305	0.418510741	0.930974226	-0.037659351	-0.197920802	-0.037604503	0.012352652	-0.023455567	0.277289498	0.996825293	-0.061657055	0.368251514	-1.134312986	0.925881978	-0.672284493	0.766728062	0.82240131	-0.128115997	0.961920967	-0.235333162	1.238319297	-1.027099733	0.633135626	0.684046862	0.234451842	289313907.5	267431865.8	284300030	245617035.3	255530715.7	253076400.5	238363546.6	282817183.3	190327394.1	192254856.1	176842793.6	182130346.4	166246685.2	194720515.6	177105399.3	187564452.6	7685320.312	10527787.78	7199092.253	12204771.58	4903465.414	8050556.878	8217857.216	17167168.53	1578124.408	2278172.898	5302232.537	5844919.721	1930106.805	2326711.179	3568132.978	10138249.49
Q99ZG0		SPy_1246	Putative nucleolar protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1246 PE=3 SV=1				48	14	436	48.9	8.13		methyltransferase activity;RNA binding	cytoplasm	Methyltr_RsmB-F;Methyltr_RsmF_N;Methyltranf_PUA;RsmF_methylt_CI	PF01189;PF13636;PF17125;PF17126	Methyltr_RsmF_N;MeTrfase_RsmB/NOP2;Nol1_Nop2_Fmu_2;RCMT;RsmF_methylt_CI;SAM-dependent_MTases	IPR001678;IPR023267;IPR027391;IPR029063;IPR031340;IPR031341				Cytoplasm {ECO:0000256|SAAS:SAAS00336474}.	RBP	-0.287589207	-0.096163173	0.251969403	0.116442829	0.972535745	0.998860838	-0.003835037	0.167797934	-0.429389986	-0.065637046	-0.589008675	0.197624158	0.996825293	-0.229059443	-0.181301221	0.091364637	-0.006928389	0.26540846	0.698955028	0.76134558	0.042135872	-0.22183001	-0.639511049	-0.359861988	-0.520576798	0.015731107	0.028249523	-0.435444961	84297937.73	85316602.97	53901733	52768524.84	70754021.56	75136141.77	63549970.23	73249792.07	56998009.42	56772883.31	54120320.39	76288896.29	72425779.33	56208102.23	47051798.44	68535015.49	7986003.859	6753110.342	11070909.87	6339448.411	6078180.089	6910759.882	8424184.119	5120836.486	36426691.21	26697969.6	34246688.42	44440877.44	29931918.91	22814950.59	25639456.76	29199263.52
Q99XL4		SPy_2152	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_2152 PE=4 SV=1				61	5	102	11.3	6.54				EntA_Immun	PF08951	EntA_Immun;Ta0600-like_sf	IPR015046;IPR023130					-	-0.423452521	0.038984439	-0.609209289	0.709476004	0.792931297	0.990059144	-0.071050342	0.013804941	0.409854054	0.103750868	0.403069087	0.062448312	0.859934963	0.232619738	4.434995856	4.300463143	5.35917104	4.836726678	1.66E-05	0.000285024	4.732839179	NA	NA	NA	NA	NA	NA	NA	117556337.5	92249422.32	131930568.3	106407044.7	81683233.45	64721790.15	98989830.06	85329735.91	91474334.82	95984311.85	95709950.28	58887319.82	142887651	149030940.2	127817925.8	111402577.9	5495478.899	75422506.66	115032831	3671888.79	2974314.156	56739623.5	71747530.33	2938866.073	2415854.349	52617980.85	42527709.58	395339.6018	1386233.614	55664394.91	63626658.37	427558.7216
