locus_tag	old_locus_tag	Gene_name	UniProt	protein_id	Pfam	eggNOG_PFAMs	Interpro	RBP_type	OOPS_rep1	OOPS_rep2	OOPS_rep3	OOPS_rep4	OOPS_mean	OOPS_p_val	OOPS_p_adj	RNA_binding_sites	Novel_RBP	product	Bacteria_OGs	Firmicutes_OGs	eco-shchepachev	eco-queiroz	eco-monti	eco-stenum	sal-urdaneta	sau-chu
SPY_RS01170	SPy_0248	jag	Q9A1J2	WP_010921872.1	R3H	Jag_N,KH_4,R3H	R3H_ss-bd	Other RBP	4.045928642	3.70933599	3.77985965	3.622053525	3.789294452	0.00000189	0.000206812	"149D; 150G; 151F; 215A; 228S; 243T; 245I; 247F; 294P"	No	RNA-binding cell elongation regulator Jag/EloR	COG1847	1V3IN	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS01175	SPy_0250	rpmH	P66258	WP_002885866.1	Ribosomal_L34	Ribosomal_L34	"Ribosomal_L34;Ribosomal_L34_CS"	Ribosomal protein	-	-	-	-	-	-	-	"7P; 8S"	No	50S ribosomal protein L34	COG0230	COG0230	no_RBP	no_RBP	no_RBP	no_RBP	RBP	no_homolog
SPY_RS01180	SPy_0251	nanE	P65522	WP_010921873.1	NanE	NanE	"Aldolase_TIM;NanE;RibuloseP-bd_barrel"	-	-	-	-	-	-	-	-	-	No	N-acetylmannosamine-6-phosphate 2-epimerase	COG3010	1TSR7	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01185	SPy_0252	SPy_0252	Q9A1I9	WP_010921874.1	SBP_bac_1	SBP_bac_1,SBP_bac_8	SBP_1_dom	-	-	-	-	-	-	-	-	-	No	ABC transporter substrate-binding protein	COG1653	1UZ65	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01190	SPy_0254	SPy_0254	Q9A1I8	WP_003052879.1	BPD_transp_1	BPD_transp_1	MetI-like	-	-	-	-	-	-	-	-	-	No	sugar ABC transporter permease	COG1175	1TT6K	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01195	SPy_0255	SPy_0255	Q9A1I7	WP_009880516.1	BPD_transp_1	BPD_transp_1	MetI-like	-	-	-	-	-	-	-	-	-	No	carbohydrate ABC transporter permease	COG0395	1TPDZ	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01200	SPy_0256	SPy_0256	Q9A1I6	WP_010921876.1	DUF624	DUF624	DUF624	-	-	-	-	-	-	-	-	66S	No	DUF624 domain-containing protein	COG5578	1VMQR	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS01205	SPy_0257	nanH	Q9A1I5	WP_010921877.1	DHDPS	DHDPS	"Aldolase_TIM;DapA-like"	-	-	-	-	-	-	-	-	-	No	dihydrodipicolinate synthase family protein	COG0329	1TQRK	no_RBP	no_RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS01210	SPy_0258	nanK	Q9A1I4	WP_010921878.1	ROK	ROK	ROK	-	-	-	-	-	-	-	-	-	No	ROK family protein	COG1940	1TP04	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01215	SPy_0259	SPy_0259	Q9A1I3	WP_010921879.1	"HTH_6;SIS"	HTH_6,SIS	"Homeodomain-like;HTH_RpiR;SIS;WHTH_DNA-bd_dom"	-	-	-	-	-	-	-	-	-	No	MurR/RpiR family transcriptional regulator	COG1737	1TR5E	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01220	SPy_0260	tatD	Q9A1I2	WP_015055911.1	TatD_DNase	TatD_DNase	"DNase_TatD-rel_CS;DNase_TatD-type;TatD_family"	RNase	2.459488082	2.507071505	2.034589809	2.719669873	2.430204817	0.0000439	0.000450486	-	No	TatD family hydrolase	COG0084	1TNY1	RBP	no_RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS01225	SPy_0261	rnmV	Q9A1I1	WP_011285382.1	"DUF4093;Toprim"	DUF4093,Toprim,Toprim_4	"RNase_M5;RNase_M5_C;Toprim_domain"	RNase	4.970516009	4.310374058	4.35875314	3.473513968	4.278289294	0.0000674	0.000578109	"61P; 63Y; 66E; 69R; 115A"	No	ribonuclease M5	COG1658	1V3K3	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	RBP
SPY_RS01230	SPy_0262	rsmA	Q9A1I0	WP_002991156.1	RrnaAD	RrnaAD	"KsgA/Erm;rRNA_Ade_diMease-like;rRNA_Ade_Mease_Trfase_CS;rRNA_Ade_methylase_Trfase_N;rRNA_adenine_dimethylase;SAM-dependent_MTases"	RNA modification	2.589596177	2.80140785	2.696411617	2.459488082	2.636725932	0.00000518	0.00024226	"22K; 158D"	No	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA	COG0030	1TP9W	RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS01235	SPy_0263	rsgA	Q9A1H9	WP_010921881.1	DUF258	RsgA_GTPase,RsgA_N	"EngC_GTPase;G_CP_dom;NA-bd_OB-fold;P-loop_NTPase;Ribosome_biogen_GTPase_RsgA"	Ribosome biogenesis	1.34509885	1.114944812	1.165314152	1.352097357	1.244363793	0.0000833	0.000626006	"182D; 183S"	No	ribosome small subunit-dependent GTPase A	COG1162	1TPSQ	RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01240	SPy_0264	rpe	Q9A1H8	WP_002992061.1	Ribul_P_3_epim	Ribul_P_3_epim	"Aldolase_TIM;Ribul_P_3_epim;Ribul_P_3_epim-like;RibuloseP-bd_barrel"	-	1.276526011	-0.413954255	-0.075997421	1.045132203	0.457926635	0.266181146	0.355189421	-	No	ribulose-phosphate 3-epimerase	COG0036	1TQK8	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01245	SPy_0265	thiN	Q9A1H7	WP_010921882.1	"TPK_B1_binding;TPK_catalytic"	TPK_B1_binding,TPK_catalytic	"Thi_PPkinase;Thiamin_PyroPKinase_B1-bd;TPK_catalytic"	-	-	-	-	-	-	-	-	-	No	thiamine diphosphokinase	COG1564	1VA0W	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_RBP
SPY_RS01250	SPy_0266	rmuC	Q9A1H6	WP_010921883.1	RmuC	RmuC	DNA_recombination_RmuC	-	0.203199675	0.15701529	0.081227418	-0.257156984	0.04607135	0.693238095	0.758060358	-	No	DNA recombination protein RmuC	COG1322	1TPWI	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01255	SPy_0267	yhaM	Q9A1H5	WP_002986055.1	"HD;tRNA_anti-codon"	HD,tRNA_anti-codon	"HD/PDEase_dom;HD_domain;NA-bd_OB-fold;NA-bd_OB_tRNA"	RNase	2.482129873	2.391141812	2.681068001	2.310689018	2.466257176	0.00000818	0.000255907	"74Y; 296T; 298R"	No	3'-5' exoribonuclease YhaM family protein	COG3481	1TPIU	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_RBP
SPY_RS01260	SPy_0268	purR	Q9A1H4	WP_002992072.1	"Pribosyltran;PuR_N"	Pribosyltran,PuR_N	"PRibTrfase_dom;PRTase-like;PuR_N;PurR_Bsub;WHTH_DNA-bd_dom"	-	1.385581739	-2.398069417	5.417876062	-5.894602765	-0.372303595	0.865412084	0.906314645	-	No	pur operon repressor	COG0503	1TPN9	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS01265	SPy_0269	prgA	Q9A1H3	WP_010921884.1	-	-	Surf_Exclu_SEC10/PgrA	-	0.227185672	-0.147928733	-0.053274708	-0.299986943	-0.068501178	0.577782089	0.657422323	-	No	SEC10/PgrA surface exclusion domain-containing protein	COG1196	COG1196	no_RBP	no_RBP	no_RBP	no_RBP	RBP	no_homolog
SPY_RS01270	SPy_0271	rpsL	P66376	WP_002986049.1	Ribosom_S12_S23	Ribosom_S12_S23	"NA-bd_OB-fold;Ribosomal_S12/S23;Ribosomal_S12_bac"	Ribosomal protein	1.964950933	2.424767771	2.290719845	2.02608431	2.176630715	0.0000299	0.000365274	"2P; 26I; 27G; 28Y; 29N; 30S"	No	30S ribosomal protein S12	COG0048	1V1FJ	RBP	RBP	RBP	no_RBP	RBP	RBP
SPY_RS01275	SPy_0272	rpsG	P66619	WP_002992078.1	Ribosomal_S7	Ribosomal_S7	"Ribosomal_S5/S7;Ribosomal_S7_bac/org-type;Ribosomal_S7_CS;Ribosomal_S7_dom"	Ribosomal protein	5.427760011	6.129343915	5.252040922	4.970516009	5.444915214	0.0000107	0.000255907	"5N; 7A; 8P; 10R; 20S; 25R; 30V; 31M; 79R; 80V; 82G; 83S; 84N; 85Y; 103W; 116M; 126D; 129N; 131T; 151F; 153H; 154F; 155R; 156W"	No	30S ribosomal protein S7	COG0049	1V1GG	RBP	RBP	RBP	RBP	RBP	no_homolog
SPY_RS01280	SPy_0273	fusA	P69946	WP_002986045.1	"EFG_C;EFG_II;EFG_IV;GTP_EFTU;GTP_EFTU_D2"	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2	"EF_GTP-bd_dom;EFG_III-V;EFG_V;P-loop_NTPase;Ribosomal_S5_D2-typ_fold;Ribosomal_S5_D2-typ_fold_subgr;Small_GTP-bd_dom;Transl_B-barrel;Transl_elong_EFG/EF2;Transl_elong_EFG/EF2_IV;Transl_elong_EFTu/EF1A_2"	Translation	0.804856612	0.997114502	1.247837849	0.734777551	0.946146629	0.0010369	0.003668359	"146Y; 320F; 341M; 351I; 352G; 353R"	No	elongation factor G	COG0480	1TPF9	RBP	RBP	RBP	RBP	no_RBP	no_RBP
SPY_RS01285	SPy_0274	gap	P0C0G7	WP_002986042.1	"Gp_dh_C;Gp_dh_N"	Gp_dh_C,Gp_dh_N	"GlycerAld/Erythrose_P_DH;GlycerAld_3-P_DH_AS;GlycerAld_3-P_DH_cat;GlycerAld_3-P_DH_NAD(P)-bd;Glyceraldehyde-3-P_DH_1;NAD(P)-bd_dom"	-	-0.608462641	-1.080021957	-0.636762194	-2.094085468	-1.104833065	0.019837674	0.039769813	"4K; 123P; 182T; 185Q; 209P; 223P"	No	type I glyceraldehyde-3-phosphate dehydrogenase	COG0057	1TNYU	no_RBP	RBP	RBP	RBP	no_RBP	no_RBP
SPY_RS01295	SPy_0276	glnQ	Q9A1H1	WP_002986037.1	ABC_tran	ABC_tran	"AAA+_ATPase;ABC_ATPase_HisP-typ;ABC_transporter-like;ABC_transporter_CS;P-loop_NTPase"	-	0.089949127	0.452415097	0.394223355	0.431023536	0.341902779	0.022040177	0.043157742	-	No	amino acid ABC transporter ATP-binding protein	COG1126	1TNYD	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01300	SPy_0277	SPy_0277	Q9A1H0	WP_011285384.1	BPD_transp_1	BPD_transp_1,SBP_bac_3	"AA_ABC_transptr_permease_3TM;MetI-like;Solute-binding_3/MltF_N"	-	-0.046438242	-0.031795272	0.255757668	0.564882944	0.185601774	0.24698161	0.332733625	-	No	ABC transporter substrate-binding protein/permease	COG0765	1TPM3	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01305	SPy_0278	SPy_0278	Q9A1G9	WP_010921886.1	DUF2207	DUF2207	DUF2207_membrane	-	0.589425855	0.263393129	-0.722277406	0.540347189	0.167722192	0.561918012	0.644598047	-	No	DUF2207 domain-containing protein	COG4907	1TS3Q	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog	no_homolog
SPY_RS01310	SPy_0280	uppP	P67392	WP_002986031.1	BacA	BacA	UppP	-	-	-	-	-	-	-	-	-	No	undecaprenyl-diphosphate phosphatase	COG1968	1TPFA	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01315	SPy_0281	mecA	P60187	WP_002986029.1	MecA	MecA	Neg-reg_MecA	-	0.575867254	0.036491002	0.582422748	0.048956012	0.310934254	0.097322463	0.150304699	-	No	adaptor protein MecA	COG4862	1UZ7D	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS01320	SPy_0282	tagO	Q9A1G6	WP_002991122.1	Glycos_transf_4	Glycos_transf_4	"Glycosyl_transferase_4;PNAcMuramoyl-5peptid_Trfase_CS"	-	-	-	-	-	-	-	-	-	No	MraY family glycosyltransferase	COG0472	1TP9V	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01325	SPy_0285	sufC	Q9A1G5	WP_002986023.1	ABC_tran	ABC_tran	"AAA+_ATPase;ABC_transporter-like;ABC_transporter_CS;FeS-cluster_ATPase_SufC;P-loop_NTPase"	-	0.586417063	-0.376560248	0.525704452	-0.070743998	0.166204317	0.4678594	0.55484171	-	No	Fe-S cluster assembly ATPase SufC	COG0396	1TQ98	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01330	SPy_0287	sufD	Q9A1G4	WP_010921887.1	UPF0051	UPF0051	"SUF_FeS_clus_asmbl_SufBD;SUF_FeS_clus_asmbl_SufD"	-	0.118433051	-0.170385101	0.126381679	-0.175279697	-0.025212517	0.806086497	0.857385708	-	No	Fe-S cluster assembly protein SufD	COG0719	1TRT0	no_RBP	no_RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS01335	SPy_0288	sufS	Q9A1G3	WP_010921888.1	Aminotran_5	Aminotran_5	"Aminotrans_V_dom;Aminotrans_V_PyrdxlP_BS;Cys_dSase_SufS;Cysteine_dSase;PyrdxlP-dep_Trfase;PyrdxlP-dep_Trfase_major_sub1;PyrdxlP-dep_Trfase_major_sub2"	-	-0.186566359	-0.391658262	-0.29701933	-0.583559178	-0.364700782	0.017488831	0.035741737	-	No	cysteine desulfurase	COG0520	1TQ1W	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01340	SPy_0289	sufU	Q9A1G2	WP_002986018.1	NifU_N	NifU_N	NIF_FeS_clus_asmbl_NifU_N	-	0.070931066	0.04834793	-0.040127343	0.564882944	0.161008649	0.287957311	0.375325164	-	No	Fe-S cluster assembly sulfur transfer protein SufU	COG0822	1V3H9	RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01345	SPy_0290	sufB	Q9A1G1	WP_010921889.1	UPF0051	UPF0051	"SUF_FeS_clus_asmbl_SufB;SUF_FeS_clus_asmbl_SufBD"	-	0.213281494	0.120902687	-0.116592384	0.011690714	0.057320628	0.547995292	0.631206616	-	No	Fe-S cluster assembly protein SufB	COG0719	1TQ21	no_RBP	no_RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS01355	SPy_0292	pbp3	Q9A1G0	WP_010921890.1	"PBP5_C;Peptidase_S11"	PBP5_C,Peptidase_S11	"Beta-lactam/transpept-like;Peniciliin-bd_prot-assoc;Peptidase_S11;Peptidase_S11_C;Peptidase_S11_N"	-	2.021796071	1.95045274	1.932488129	1.789802333	1.923634818	0.00000993	0.000255907	-	No	D-alanyl-D-alanine carboxypeptidase PBP3	COG1686	1TQN0	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01365	SPy_0294	amiC	Q9A1F9	WP_010921891.1	BPD_transp_1	BPD_transp_1	MetI-like	-	-0.22701966	0.204527765	-0.146527333	-0.280000262	-0.112254872	0.372104023	0.463215836	-	No	ABC transporter permease	COG0601	1UY5U	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01370	SPy_0295	oppC	Q9A1F8	WP_010921892.1	"BPD_transp_1;OppC_N"	BPD_transp_1,OppC_N	"MetI-like;OppC_N"	-	-	-	-	-	-	-	-	-	No	oligopeptide ABC transporter permease OppC	COG1173	1TP4R	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01375	SPy_0296	amiE	Q9A1F7	WP_010921893.1	"ABC_tran;oligo_HPY"	ABC_tran,oligo_HPY	"AAA+_ATPase;ABC_transporter-like;ABC_transporter_CS;Oligo_ATP-bd_C;Oligopep_ABC_C;P-loop_NTPase"	-	0.09580881	-0.103121885	0.065231681	-0.294338484	-0.059104969	0.582536731	0.661045724	-	No	ABC transporter ATP-binding protein	COG0444	1TP6E	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS01380	SPy_0297	amiF	P0A2V6	WP_002986000.1	"ABC_tran;oligo_HPY"	ABC_tran,oligo_HPY	"AAA+_ATPase;ABC_transporter-like;ABC_transporter_CS;Oligopep_ABC_C;P-loop_NTPase"	-	-0.327444531	0.395824469	0.268637737	-0.024284406	0.078183317	0.630612043	0.697733693	-	No	ABC transporter ATP-binding protein	COG4608	1V36J	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS01420	SPy_0300	SPy_0300	Q99Q57	WP_010921894.1	-	-	-	-	-	-	-	-	-	-	-	-	No	sigma-70 family RNA polymerase sigma factor	-	-	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS01425	SPy_0303	SPy_0303	Q9A1F6	WP_010921895.1	DDE_Tnp_1	DDE_Tnp_1,DDE_Tnp_1_assoc	Transposase_11	-	-	-	-	-	-	-	-	-	No	ISAs1-like element IS1548 family transposase	COG5433	1UZWV	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog	no_homolog
SPY_RS01430	SPy_0305	yqeG	Q9A1F5	WP_002991099.1	-	HAD_2,Hydrolase,Hydrolase_like,PGP_phosphatase	"HAD-like_dom;HAD-SF_hydro_IIIA;HAD_ppase_YqeG-like"	-	-	-	-	-	-	-	-	-	No	YqeG family HAD IIIA-type phosphatase	COG2179	1V6KM	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	RBP
SPY_RS01435	SPy_0306	yqeH	Q9A1F4	WP_002991828.1	MMR_HSR1	MMR_HSR1	"G_CP_dom;GTP-bd_ribosome_bgen_YqeH;GTP_binding_domain;P-loop_NTPase"	Ribosome biogenesis	1.195605417	1.144532138	1.271819783	0.964918079	1.144218854	0.00013142	0.000807706	251T	No	ribosome biogenesis GTPase YqeH	COG1161	1TPM2	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	RBP
SPY_RS01440	SPy_0307	yhbY	Q9A1F3	WP_002991094.1	CRS1_YhbY	CRS1_YhbY	"RNA-binding_CRM;RNA-binding_YhbY"	Other RBP	-	-	-	-	-	-	-	"14A; 15H"	No	ribosome assembly RNA-binding protein YhbY	COG1534	1VEGM	RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01445	SPy_0308	nadD	Q9A1F2	WP_010921896.1	CTP_transf_2	CTP_transf_like	"Cyt_trans-like;NAMN_adtrnsfrase;Rossmann-like_a/b/a_fold"	-	-	-	-	-	-	-	-	-	No	nicotinate-nucleotide adenylyltransferase	COG1057	1V3SK	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01450	SPy_0309	yqeK	Q9A1F1	WP_002985989.1	HD	HD	"CHP00488;HD/PDEase_dom;HD_domain"	-	2.433407508	-3.043437121	-	0.695295571	-	0.983674795	0.994562685	136Y	No	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK	COG1713	1V6Y1	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_RBP
SPY_RS01455	SPy_0310	rsfS	Q9A1F0	WP_015055915.1	Oligomerisation	RsfS	"Iojap/RsfS/C7orf30;Oligomer_dom"	-	-	-	-	-	-	-	-	-	No	ribosome silencing factor	COG0799	1VA2Z	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01460	SPy_0312	yqeM	Q9A1E9	WP_014407307.1	-	Methyltransf_25	SAM-dependent_MTases	-	-	-	-	-	-	-	-	-	No	class I SAM-dependent methyltransferase	COG2226	1TQUF	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01465	SPy_0314	ylbM	Q9A1E8	WP_010921898.1	HIGH_NTase1	HIGH_NTase1	"Rossmann-like_a/b/a_fold;UPF0348"	RNA modification	2.623534428	2.489663796	2.231395734	2.589596177	2.483547534	0.0000102	0.000255907	341S	No	nucleotidyltransferase	COG1323	1TPP2	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	RBP
SPY_RS01470	SPy_0316	yebC	P67188	WP_002985979.1	Transcrip_reg	Transcrip_reg	"Integrase_Zn-bd_dom-like_N;Transcrip_reg_TACO1-like;Transcrip_reg_TACO1-like_dom2;Transcrip_reg_TACO1-like_dom3;Transcrip_reg_TACO1_YeeN;YebC-like"	-	0.723331437	1.461137517	1.682637265	0.92863734	1.19893589	0.003413813	0.009455363	"5W; 58Q; 60P; 62H; 76D; 77E; 79F; 80V; 81E; 82G; 84Y; 86G; 87F; 89P; 121M"	Yes	YebC/PmpR family DNA-binding transcriptional regulator	COG0217	1TPP5	RBP	RBP	RBP	RBP	RBP	no_RBP
SPY_RS01475	SPy_0317	SPy_0317	Q9A1E5	WP_009880638.1	-	SBP_bac_3	Solute-binding_3/MltF_N	-	0.8028404	-0.064225521	0.358532882	0.30821086	0.351339655	0.095250167	0.14771351	"53Y; 188S; 189E; 190G"	No	amino acid ABC transporter substrate-binding protein	COG0834	1VWFY	RBP	RBP	no_RBP	no_RBP	RBP	no_homolog
SPY_RS01480	SPy_0319	metQ	Q9A1E4	WP_010921899.1	Lipoprotein_9	Lipoprotein_9	Lipoprotein_NlpA	-	1.764939498	0.911907018	1.993254583	0.618011122	1.322028055	0.009054028	0.020659868	-	No	MetQ/NlpA family ABC transporter substrate-binding protein	COG1464	1TQAS	no_RBP	RBP	no_RBP	no_RBP	RBP	RBP
SPY_RS01485	SPy_0320	metN	Q9A1E3	WP_002985970.1	"ABC_tran;NIL"	ABC_tran,NIL	"AAA+_ATPase;ABC_MetN;ABC_transporter-like;ABC_transporter_CS;ABC_transprt_methionine_MetN_C;NIL_domain;P-loop_NTPase"	-	0.309338219	0.26099728	0.136565631	0.581524947	0.322106519	0.032245579	0.05993549	-	No	methionine ABC transporter ATP-binding protein	COG1135	1TPPN	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01490	SPy_0321	metI	Q9A1E2	WP_002991836.1	BPD_transp_1	BPD_transp_1	MetI-like	-	-	-	-	-	-	-	-	-	No	methionine ABC transporter permease	COG2011	1V0GE	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01495	SPy_0323	brnQ	Q9A1E1	WP_010921901.1	Branch_AA_trans	Branch_AA_trans	Brnchd-chn_aa_trnsp_Livcs	-	-0.032209685	-0.536218585	-0.905830901	-0.43605771	-0.47757922	0.042186521	0.074781159	-	No	branched-chain amino acid transport system II carrier protein	COG1114	1TQIS	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01500	SPy_0324	sstT	Q9A1E0	WP_010921902.1	SDF	SDF	"Na-dicarboxylate_symporter;Ser_Thr_transp_SstT"	-	-	-	-	-	-	-	-	-	No	serine/threonine transporter SstT	COG3633	1TPD2	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01505	SPy_0326	ktrA	Q9A1D9	WP_002991064.1	TrkA_N	TrkA_C,TrkA_N	"NAD(P)-bd_dom;RCK_C;RCK_N"	-	0.327582707	0.107539746	0.427491232	0.568829899	0.357860896	0.024616137	0.04742972	-	No	potassium uptake transporter gating subunit KtrA	COG0569	1TQ9H	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01510	SPy_0327	ktrB	Q9A1D8	WP_023605004.1	TrkH	TrkH	Cat_transpt	-	-	-	-	-	-	-	-	-	No	potassium uptake transporter channel subunit KtrB	COG0168	1TQ4S	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01515	SPy_0329	rsmG	Q9A1D7	WP_010921904.1	GidB	GidB	"rRNA_ssu_MeTfrase_G;SAM-dependent_MTases"	RNA modification	1.895651354	0.792660196	1.999969952	1.087788948	1.444017613	0.00455662	0.011822345	190C	No	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	COG0357	1TPBT	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01520	SPy_0330	lemA	Q9A1D6	WP_002985956.1	LemA	LemA	"LemA;LemA-like_dom"	-	0.029176535	0.550638484	0.049088923	0.558674184	0.296894532	0.100830814	0.15464398	-	No	LemA family protein	COG1704	1V3Z0	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS01525	SPy_0331	htpX	Q9A1D5	WP_002985953.1	Peptidase_M48	Peptidase_M48	"Pept_M48_protease_HtpX;Peptidase_M48"	-	-0.410000507	-0.268228112	-0.594387181	1.180994094	-0.022905427	0.950936183	0.974073317	-	No	zinc metalloprotease HtpX	COG0501	1TP23	RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01530	SPy_0334	ylbN	Q9A1D4	WP_011054200.1	DUF177	DUF177	DUF177	-	-	-	-	-	-	-	-	4A	No	DUF177 domain-containing protein	COG1399	1VB08	RBP	RBP	RBP	RBP	no_RBP	no_RBP
SPY_RS01540	SPy_0336	covS	Q7DAM9	WP_002991036.1	"HAMP;HATPase_c;HisKA"	HAMP,HATPase_c,HisKA	"EnvZ-like_dim/P;HAMP_linker_domain;HATPase_C;Sig_transdc_His_kin-like_C;Sig_transdc_His_kinase_core;Sig_transdc_His_kinase_dimeric"	-	0.400843731	0.787436289	0.570964547	0.305956103	0.516300168	0.008428441	0.019443143	-	No	two-component system sensor histidine kinase CovS	COG2205	1UHQC	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS01545	SPy_0338	nrdR	P67320	WP_002985941.1	ATP-cone	ATP-cone	"ATP-cone;RNR_NrdR-like"	-	0.404940157	0.704278387	0.307481953	0.630540521	0.511810254	0.006507451	0.015881954	-	No	transcriptional regulator NrdR	COG1327	1V3JA	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS01550	SPy_0339	dnaB	Q9A1D2	WP_002991019.1	-	DnaB_2	-	-	0.511424446	2.00876014	0.983625174	0.28390181	0.946927893	0.043520012	0.076982878	-	No	replication initiation and membrane attachment family protein	COG3611	COG3611	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS01555	SPy_0340	dnaI	Q9A1D1	WP_002991016.1	"DnaI_N;IstB_IS21"	DnaI_N,IstB_IS21	"DnaI_N;IstB_ATP-bd;P-loop_NTPase"	-	0.429916766	-0.07639946	-0.437696149	-2.238873018	-0.580762965	0.304394957	0.393099009	-	No	primosomal protein DnaI	COG1484	1TPZX	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS01560	SPy_0341	der	P64064	WP_002991013.1	MMR_HSR1	KH_dom-like,MMR_HSR1	"GTP-bd_EngA;GTP_binding_domain;KH_dom-like_a/b;P-loop_NTPase;Small_GTP-bd_dom"	Ribosome biogenesis	1.611854683	1.523291087	1.75912758	1.640088343	1.633590424	0.0000196	0.000294058	"427P; 429H"	No	ribosome biogenesis GTPase Der	COG1160	1TPNM	RBP	RBP	RBP	RBP	no_RBP	no_RBP
